"3","eruption.ocf.berkeley.edu","ckuehl","2014-02-15 16:06:02","2014-02-15 16:21:22","2014-02-15 16:21:22","00:15:20"
"39","avalanche.ocf.berkeley.edu","daradib","2014-02-16 19:07:00","2014-02-17 00:12:38","2014-02-17 00:12:38","05:05:38"
"192","blizzard.ocf.berkeley.edu","pubstaff","2014-02-18 14:05:56","2014-02-18 18:02:43","2014-02-18 18:02:43","03:56:47"
"215","eruption.ocf.berkeley.edu","ckuehl","2014-02-18 15:17:08","2014-02-18 15:17:13","2014-02-18 15:17:13","00:00:05"
"216","eruption.ocf.berkeley.edu","ckuehl","2014-02-18 15:17:18","2014-02-18 15:31:30","2014-02-18 15:31:30","00:14:12"
"223","eruption.ocf.berkeley.edu","ckuehl","2014-02-18 15:32:02","2014-02-18 20:27:01","2014-02-18 20:27:01","04:54:59"
"290","avalanche.ocf.berkeley.edu","daradib","2014-02-18 19:26:22","2014-02-19 07:01:39","2014-02-19 07:01:39","11:35:17"
"291","outbreak.ocf.berkeley.edu","ckuehl","2014-02-18 22:22:13","2014-02-18 22:39:02","2014-02-18 22:39:02","00:16:49"
"293","madcow.ocf.berkeley.edu","ckuehl","2014-02-18 22:54:01","2014-02-18 22:58:33","2014-02-18 22:58:33","00:04:32"
"294","outbreak.ocf.berkeley.edu","ckuehl","2014-02-18 23:02:40","2014-02-18 23:02:50","2014-02-18 23:02:50","00:00:10"
"295","outbreak.ocf.berkeley.edu","ckuehl","2014-02-18 23:02:55","2014-02-18 23:16:00","2014-02-18 23:16:00","00:13:05"
"296","madcow.ocf.berkeley.edu","ckuehl","2014-02-18 23:15:29","2014-02-18 23:15:34","2014-02-18 23:15:34","00:00:05"
"297","madcow.ocf.berkeley.edu","ckuehl","2014-02-18 23:15:41","2014-02-18 23:15:45","2014-02-18 23:15:45","00:00:04"
"298","outbreak.ocf.berkeley.edu","ckuehl","2014-02-18 23:16:19","2014-02-18 23:16:24","2014-02-18 23:16:24","00:00:05"
"299","outbreak.ocf.berkeley.edu","ckuehl","2014-02-18 23:16:28","2014-02-18 23:16:32","2014-02-18 23:16:32","00:00:04"
"300","outbreak.ocf.berkeley.edu","ckuehl","2014-02-18 23:16:39","2014-02-18 23:16:43","2014-02-18 23:16:43","00:00:04"
"310","blizzard.ocf.berkeley.edu","pubstaff","2014-02-19 09:24:01","2014-02-19 12:00:43","2014-02-19 12:00:43","02:36:42"
"394","destruction.ocf.berkeley.edu","pubstaff","2014-02-19 11:34:01","2014-02-19 11:34:57","2014-02-19 11:34:57","00:00:56"
"396","hurricane.ocf.berkeley.edu","pubstaff","2014-02-19 11:35:39","2014-02-19 11:52:29","2014-02-19 11:52:29","00:16:50"
"397","madcow.ocf.berkeley.edu","pubstaff","2014-02-19 11:36:41","2014-02-19 11:37:47","2014-02-19 11:37:47","00:01:06"
"412","eruption.ocf.berkeley.edu","ckuehl","2014-02-19 12:06:37","2014-02-19 12:10:05","2014-02-19 12:10:05","00:03:28"
"552","blizzard.ocf.berkeley.edu","pubstaff","2014-02-19 15:51:59","2014-02-19 17:59:05","2014-02-19 17:59:05","02:07:06"
"568","outbreak.ocf.berkeley.edu","nickimp","2014-02-19 16:17:47","2014-02-19 16:21:13","2014-02-19 16:21:13","00:03:26"
"583","avalanche.ocf.berkeley.edu","tmochida","2014-02-19 17:04:14","2014-02-19 17:31:06","2014-02-19 17:31:06","00:26:52"
"593","eruption.ocf.berkeley.edu","kpengboy","2014-02-19 17:21:59","2014-02-19 17:23:19","2014-02-19 17:23:19","00:01:20"
"598","eruption.ocf.berkeley.edu","kpengboy","2014-02-19 17:26:42","2014-02-19 17:53:47","2014-02-19 17:53:47","00:27:05"
"603","avalanche.ocf.berkeley.edu","ckuehl","2014-02-19 17:38:13","2014-02-19 17:40:16","2014-02-19 17:40:16","00:02:03"
"606","avalanche.ocf.berkeley.edu","ckuehl","2014-02-19 17:41:04","2014-02-19 18:00:38","2014-02-19 18:00:38","00:19:34"
"608","avalanche.ocf.berkeley.edu","daradib","2014-02-19 19:33:38","2014-02-19 21:05:05","2014-02-19 21:05:05","01:31:27"
